,작성자,시간,내용
1039,0705****,2022.10.08. 15:42,윤석열 징계보다는 탄핵을 하고싶은거겠지.. 한번 배신자는 영원한 배신자...
1040,alpf****,2022.10.08. 15:42,"집권 여당에 대한 있으면서 집권당의 대통령 징계를 운운하다니. 제 정신인가 모르겠네. 무조건 감싸는 것도 안되겠지만 니들 입에서 먼저 징계니, 탄핵이니 이런 얘기를 꺼내야 하냐?"
1041,misu****,2022.10.08. 15:42,내부총질 기술자들 ㅡ 박근혜 한테도 그러더니
1042,jwo3****,2022.10.08. 15:41,그러게
1043,jjac****,2022.10.08. 15:41,결별수순 막말이네
1044,leek****,2022.10.08. 15:41,훌륭한 gsgg 민주당 으로 가라
1045,cuns****,2022.10.08. 15:41,하여튼 보수들은 멍청하긴해~~~~솔직히 보수중 찐보수는 유승민 이준석 인데 쫒아내버리고 ~~~자칭 좌파라고했던 윤석열을 대통~~ 좌파출신 안철수는 당대표후보 만들어주고 ~~~~~~그리고 박근혜를 제3자뇌물혐의로 깜빵에 쳐 넣은게 윤석열 그 주동자가 권성동 장제원이잖아~~~~
1046,book****,2022.10.08. 15:41,준석승민~~~탈당창당하래두
1047,masa****,2022.10.08. 15:40,말하는뽄새봐라. 대통령과동급으로굴려고 덤벼드네. 배신자로낙인찍히더니 눈깔이보이는게없나 한심한인간아! 누가 쳐다봐준다고 아가리덜썩거리고있나. 일찍감치 관짜고 누워라 꼴베기싫은것아
1048,leek****,2022.10.08. 15:40,승민이 솨라있네
1049,issu****,2022.10.09. 04:35,유승민 넌 귀가 썩었고 널 보는 내 눈이 썩을것같다
1050,rjsp****,2022.10.08. 15:40,뒤로 민주당이랑짰어?5년전처럼? 어쩌냐 이번엔안된다~아무리 떠들어도 니말 들어줄 생각없어~민주당으로 가~
1051,agai****,2022.10.08. 15:40,보수당의. 배신자
1052,osjf****,2022.10.08. 15:40,사람은 징계하지만 개를 어떻게 징계하나?
1053,chg-****,2022.10.08. 15:39,배신자의 주홍글씨가 찍힌 그대의 발광을 보니ᆢ이 넘을 잠시나마 지지한 내 자신이 한심스럽다ᆢ자네는 정치를 떠나는 것이 맞다.이완용같은 쓰레기ᆢ
1054,cina****,2022.10.08. 15:39,이제 슬슬 본색을 드러내는 배신자 유가야 5년동안 나라를 물말아쳐먹은 삶은소대가리패거리들을 보고도 또 흔들모양이구나 배신자라고 다 너처럼굴지는 않지 최소한의 반성도없는 몰염치스런놈 대놓고 더듬어만진당에게 힘을 실어주겠다고? 더럽고 뻔뻔스런물건 니실력이 아무리 좋다한들 인간의기본도없는것이 ~~~
1055,ym41****,2022.10.08. 15:39,국짐당이 다 친윤골수는 아니겠지...나중에 집안싸움 볼만하겠다...반윤의원들의 봉기가 기대되네
1056,blue****,2022.10.08. 15:39,당원을 배신했던 너는 왜 사과안하느냐
1057,tsli****,2022.10.08. 15:39,혼잣말하고 대놓고 떠든거하고 같니! 참 서울대 경제학과를 자치기해서 둘어갔는가벼. 그냥 공무원공부나 해서 노력봉사토록. 이상.
1058,sdc1****,2022.10.08. 15:39,늬는 여때까지 등에 칼 맞지 않고 목숨 부지하고 있는 걸 감사해라
1059,lim4****,2022.10.08. 15:39,윤석열 당원도 당연히 징계해야지 ㅎㅎ
1060,lsc7****,2022.10.08. 15:39,역시 같은편대통령 징계 하자는 말은 싑게 나오네. 배신자xx
1061,ssw8****,2022.10.08. 15:38,"비교할걸 비교해라. 이 분도 합리적인듯 하면서도 의외로 아집도 심하고, 포용성도 없고, 이제 그만 해야할듯. 준석이와 승민씨의 공통점은 대부분 공격의 대상이 우리편이라는것."
1062,ysp6****,2022.10.08. 16:23,꺼져라 좀 나가라
1063,tmdc****,2022.10.08. 15:38,배신자 놈!! 꺼져!!
1064,jk57****,2022.10.08. 15:38,이 인간처럼 정치하면서 존재감 없는 인간도 드물어. 네임에 비해서 진짜 과대평가되고 남 뒷빡이나 때리는 맨날 똑같은 짓거리만 반복하는 넘.
1065,dhm5****,2022.10.08. 15:38,맞는 말 아니냐아주나라망신이란망신 다시키고 댕기는디
1066,ksww****,2022.10.08. 15:38,처음부터 끝까지 배신자인 주제에 그만 정치인생 은퇴함이 옳다.
1067,0119****,2022.10.08. 15:37,아무리 자기당이라고해도 잘못한건 지적하는게 맞다
1068,mbg0****,2022.10.08. 15:37,이skk가 징계감이면 형보찢은 사형감이다
1069,soi1****,2022.10.08. 15:37,정말로 그릇이 적네...건방진 놈
1070,koya****,2022.10.08. 15:37,유배신..싸가지없는 이놈도 출당시켜라...인간이 먼저되라
1071,y2ki****,2022.10.08. 15:37,국짐당 지지자들 뼈맞았네ㅋㅋㅋ
1072,goin****,2022.10.08. 15:37,유승민이가 당 대표 되것네 바른말도 잘하고
1073,drea****,2022.10.08. 15:36,이정도는 되야 국회의원이지..유승민 말이정확한 팩트다
1074,leek****,2022.10.08. 15:36,에이구~~~1~~~~8~아~이것도 좀 치우자~~
1075,tjrm****,2022.10.08. 15:36,배신자의 뇌는 쉬 상하나? 아직 그럴 나이가 아닌 것 같은데...
1076,akst****,2022.10.09. 06:55,윤석렬 당원이라니 ㅋㅋ 단원을 공격한것이랑 같어.? 대통령이 무상 성교접대 받다 걸렸어 ??
1077,sim1****,2022.10.08. 15:35,이 ssggi 드디어 미쳤다. 유승민 배신자.. 자자손손 천벌을 받을 것이다.
1078,lily****,2022.10.08. 15:35,유승민과 김정은은 원 팀!
1079,luna****,2022.10.08. 15:35,민주당 2중대 ㆍㆍ
1080,kkkd****,2022.10.08. 15:35,분탕자이자 배신자 유승민아 널 징계해야할것같다 불만이면 니가 떠나면 되잖아 정당은 같은이념 같은뜻을가지고 같은목표를 이뤄가는게 정당이란다 승민아 아직 이런것도 모르냐? 불만이면 니가 떠나라
1081,octo****,2022.10.08. 15:34,유승민 이준석은 그냥 민주당으로 오세요
1082,zhzh****,2022.10.08. 15:34,무식한 서결이가 선진 대한민국을 쑥대 밭으로 만드네...사퇴 하라
1083,momo****,2022.10.08. 15:34,이놈은 왜 국민의힘에 있으면서 계속 분탕질만 하고있는가 도대체 이해가 안가네요 당이 싫으면 나가는게 맞지요
1084,beny****,2022.10.08. 15:34,배신자 ㅡ영원한 배신자..박그네 탄핵 앖잽이가. 윤석열 올아내려고
1085,gaur****,2022.10.08. 20:27,유승민 기사만 나오면 틀들은 발악을하네.. 빨리 관속으로 들어가세요 연금축내지 마시고
1086,ksht****,2022.10.08. 15:33,맞는 말했네
1087,baik****,2022.10.08. 15:33,저당은 열에 아홉은 딸라이 오진 유의원 혼자 바른말 하네
1088,pill****,2022.10.08. 15:32,이재명 문재앙에게는 찍소리 못함. ㅋㅋ 어이가 없는 넘임.
1089,hms8****,2022.10.08. 15:32,니 박쥐 근성도 징계감이다!
1090,hell****,2022.10.08. 15:32,"""윤석열 당원 ‘이XX’ 발언은 왜 징계 안 하나”...옳~쏘!~선진 대한민국 국민들이 지켜 본다"
1091,h971****,2022.10.08. 15:32,야 박근혜 탄핵 이번에 윤석열 탄핵 프레임이냐그럴거면 민주당 가서 해라인간 같지도 않은 것아
1092,tjsl****,2022.10.08. 15:31,이skk가 징계감이면 애들빼고 세상사람 전부 징계감일듯 대체 왜사냐 승민아 분탕질도 말이 되는 소릴해야지 걍 정계은퇴하고 노가다나 뛰어라
1093,rlad****,2022.10.08. 15:31,꼰대들아 왜 유승민보고만 배신자라고 하냐? 권성동이랑 장제원 등등 이 사람들은 배신자라 안부르고 유승민만 그러냐?
1094,sp10****,2022.10.08. 15:31,쯧쯧쯧 배신자 승민이도 관종이네! 넌 그냥 숨 죽이고 있어라!
1095,hoch****,2022.10.08. 15:31,징계못한다. 체리따봉 받아야 하니까.
1096,tuja****,2022.10.08. 15:30,유승민당원 이제 그만 정치하세요때가 저물었어요한참 사람들이 쳐다볼때 너무 교만했나 반성 하시구요 말 삼가하세요 자당대통령 최소한 기본 좀 그리고 이준석 언행 이렇게까지 하는것 팀 주셨다면 그것도 국힘에게 엄청난 리스크 준거임 과연 국가와 국민에 대한 고민에서의 언행인지 공감 안갑니다 문정부5년에 국민고통 그에따른 천문학적 빚에 나라는 고민중인데 고작 이준석하나 살려 분탕 갈라치기 자기정치 하려구 고통받는 국민심정 이해 없어. 화납니다. 경제 잘 아신다면서요 명답 얘기해보세요 정치쇼 갈라치기 분탕 더 보기싫어요 국민이 최대피해자
1097,rhdd****,2022.10.08. 15:30,유씨!머리땅에 대고 반성이나 하지 이인간은 내부총질 원조아닌가
1098,eees****,2022.10.08. 15:29,이재명한테 한번 해봐라.... 도대체 이 사람은 뭔생각인지.... 자기 고향에도 출마 못하면서...
1099,bibl****,2022.10.08. 15:29,배신자는 가라.저 하늘로.
1100,kima****,2022.10.08. 15:29,유승민도나이가얼마?철이없슴분열정치그만하고떠나라
1101,xotn****,2022.10.08. 15:29,철새같은 인간
1102,lee2****,2022.10.08. 15:29,후안무치하고 무능한 윤가자리를 승민이형한테 넘겨주고 어디산깊숙한데자리잡아 인간수행좀 하고 오너라 자고나면 정치판너무 시껍다 국민들은 하루 하루가 먹고살기힘든데 대통려미라는 인간이 하루가멀다게 야당정치인들하고 입씨름이나고 정말답답하다
1103,1341****,2022.10.08. 15:28,이준석 처럼 언론에 대놓고 하는 막말과 사석에서 하는 말이 같나? 그럼 혼자 운전하다 난폭운전자 보고 욕하는 것도 징계해야겠다
1104,aaaa****,2022.10.08. 15:28,유승민이 답답하지. 박근혜공주는 세상 돌아가는것도 모르고 그냥. 뒤에서 조종하는대로. 움직이고 윤석열은. 그냥 자기 사람 뽑아 놓고. 무대포처럼 막나가지. 윤해관 들은. 서로 자리 나눠먹기하면서. 유승민 견제 하지 저기서 멀쩡한 사람이. 누가 있냐. 저기서 멀쩡한 사람들은 못버텨 늙은 이들이야. 맹신하는거고.
1105,sihe****,2022.10.08. 15:27,100% 공감!!
1106,jhan****,2022.10.08. 15:27,한 나라의 대통령을 당원이라 표현하는 저 저질 스러운 유승민 누가 너같은 사람 좋아하겠니
1107,gkmi****,2022.10.08. 15:27,이인간도 정치병에 걸려서 개처럼 짖어만대네 누가널 인정하냐 배신자야
1108,mine****,2022.10.08. 15:27,소 가 웃을일 ㅋㅋ. 내자식에게도 새끼라 한다.새끼가 모 욕아니거든요ㅎㅎ
1109,juli****,2022.10.08. 15:26,이러다 유승민 대통령 되겠네 당은 삐뚤어져 있어도 말은 바로 해야지
1110,kch4****,2022.10.08. 15:26,대구는 반듯한 심성의 뱍근혜대통령 정치적 고항이라는데 생쥐가 시민들 곳간 절단내도 아랑곳하지 않고 나만 살면 된다?
1111,park****,2022.10.08. 15:26,유승민 이준석 하는짓이 둘이 똑같네 그렇게 분탕질할거면 소리없이 나가라 국민들도 이제 지치고 신물난다 그렇게 맘에안드는 대통령 만드느라 알마나 위선을 떤거니 이중성이 드러나네~
1112,1001****,2022.10.08. 15:26,좀 꺼지지 민주당 쁘락치 간첩이신가
1113,limw****,2022.10.08. 15:26,이준석이랑 창당해서 나가라~국짐의 행태도 별로 마음에 안들지만 그동안 유승민씨도 그닥 좋은 인상을 남긴게 없는듯 하오!!!
1114,baeh****,2022.10.08. 15:26,무서워서 못해
1115,sun3****,2022.10.08. 15:26,공정과 상식 법과 원칙을 강조하는 정부...상대한테만 적용되는겁니다...
1116,city****,2022.10.08. 15:25,여야 모두 구태에 젖은 정치인들은 뿌리 뽑아버리자 짠내풍기는 행주들 같아
1117,k2k4****,2022.10.08. 15:25,박근혜대통령 등뒤에서 칼꽂은 배신은 왜 징계안하나?
1118,7630****,2022.10.08. 15:25,또 왜?
1119,l421****,2022.10.08. 15:25,탈당해서 니 꼴리는대로 해
1120,khg_****,2022.10.08. 15:25,이ㅇ ㅇ 는 뭐하는ㅇ ㅇ 냐?이죄명 에 달라붙어라
1121,soon****,2022.10.08. 15:25,윤씨랑 그의 충견 권씨도 징계해라! 혀깨물고 죽으라는데.. 이게 의원으로 할소리인가?
1122,kewo****,2022.10.08. 15:25,여든 야든..당을 떠나...남자 답게..살아갑시다...~~~무사는.곁불을 쬐지 않아요...촐랑이 처럼~~
1123,shan****,2022.10.08. 18:54,이놈들 힘을 합해도 모자랄판에분열되고 앉았자서 모하는겨
1124,ur13****,2022.10.08. 21:17,니 땜에 안한다.
1125,dukc****,2022.10.08. 15:24,준석이랑 둘이 창당해 국힘에서 얼쩡대지 말고
1126,thdd****,2022.10.08. 17:09,옳은 소리해도 집단 린치하는 대깨윤 역시 대깨문의 후계자 답노
1127,k52k****,2022.10.08. 15:24,이 화상은 발암 그 자체야
1128,naya****,2022.10.08. 15:24,내부의적이 제일 무서운법이지
1129,gwk0****,2022.10.08. 15:24,사내가 쪼잔함의 극치를 보여주는군
1130,jsl3****,2022.10.08. 15:24,승민이는 찌그러지고....석열이는 사표써라....국짐은 해산하고
1131,calm****,2022.10.08. 15:23,야임마 은퇴해라 추잡다
1132,bkyo****,2022.10.08. 15:23,국짐당에밎는 인간 : 귓구멍 막힌 정신병자? 푸하하
1133,kbke****,2022.10.08. 15:23,맞긴 맞는 말이지 내정하게
1134,0909****,2022.10.08. 15:23,유승민은 국힘에 안맞는 인간이신듯 대통이 징계했소?! 뻑하면 기어나와 지집에총질이여! 배신의아이콘인당신이 국힘에 아직도 남아 헛소리질을한다는게 기막힐뿐이다!!
1135,aceg****,2022.10.08. 15:23,퇴출 1순위가 이러시네
1136,duck****,2022.10.08. 15:23,이 자식들은 더불당으로 가지 왜 국민의힘에서 갱갱되나--
1137,0382****,2022.10.08. 23:51,국짐당 지지자하려면 정신병자는 기본에 귓구멍까지 믹혀야 하나요? 결론은 치매 환자만 가능?
1138,draw****,2022.10.08. 15:23,얘 누군가요? 민주당원 인가요?
1139,khg_****,2022.10.08. 15:23,소신도없고 깡도없는 기회주의자
1140,ogae****,2022.10.08. 15:23,그런말 한 적이 없는데 왜 징계를해? 유승민 당신은 내부총질 전문이냐? 대통령 욕하기 전문??
1141,hy93****,2022.10.08. 15:22,개검들이 권력기관 장악해서 법질서 파괴하고 나라말아먹고있는데 콜통지지자들은 매국노?
1142,kmy5****,2022.10.08. 15:22,청와대 얼라들 발언은 징계받았냐? ㅋ
1143,yhju****,2022.10.08. 15:22,공정공정 불공정불공정해서
1144,kbke****,2022.10.08. 15:22,승미이 아즉도 입만 살았구나. 시간내서 니가 우찌 살았는지뒤돌아보거라.
1145,appl****,2022.10.08. 15:21,유승민은 색깔이 뭐니? 흠집 낼수록 본인 이미지 추락이란걸 모르는지? 적당히 하셔요 도와주지는 못할망정 진정한 국민을 위하는 마음인지 본인 밥그릇 챙기기 위함인지?
1146,psdo****,2022.10.08. 15:21,유승아.. 소리 그만하고 사라져라.볼수록 재수없다..똥은 똥끼리 통한다고 어쩜 이준떡이 하고 하는 짓이 똑같냐!
1147,bkyo****,2022.10.08. 15:21,가만히 있으면. 중간이상 갈 기회인데...ㅉㅉ
1148,lgya****,2022.10.08. 15:21,이 쪼잔한 인사야. 정계에서 그만 조용히 사라지면 좋겠는데 존재의미가 없는사람 팽당하는짓 그만좀 하셔. 준석이 조종하지말고. 그래받자 너와 준석이 국민이 외면한다. 이사회에 아무런 득이 없는거같아.
1149,newa****,2022.10.08. 15:21,"정치권에서 배신표 미꾸라지 하면 누군줄 알건데, 좀그만설쳐라,"
1150,50qn****,2022.10.08. 15:21,입술아 너는여당에있을자격이없다 너의정치는 배신 탈당 정당또해체 입당 너의정체는뭐냐 입술아탈당해서 시브리던가 자기당대통령을징계하라고 배신자다운말이다 두번다시이런배신자는 보수에서퇴출시켜야한다
1151,zi30****,2022.10.08. 15:21,"이XX’ 발언 mbc조작이라자나, 이 배신자야!"
1152,khg_****,2022.10.08. 15:21,저 합죽이...
1153,sscc****,2022.10.08. 15:21,쪽팔리는 대통렁
1154,joym****,2022.10.08. 15:21,"유승민씨 이제 아셨습니까? 저들이 외치는 자유엔 자유가 없습니다 국민으로서 재판을 받을 권리도 없고, 윤석열차라는 만화를 그릴 자유도 없죠 맨날 자유대한민국이니 멸공이니 외쳐대는 지지자들은 누구보다도 독재와, 독재자를 사랑합니다 이게 말이 됩니까?"
1155,myja****,2022.10.08. 15:21,이세이는 더부러애들한테 한거라 징게사유가 아님
